candidate_id,group_id,exposure_days,clean_episodes,unmatched_episodes,corrupted_episodes,time_in_alert_days,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,tp0,tp1,tp2,tp3,tp4,tp5,tp6,tp7,tp8,tp9,tp10,tp11,tp12,tp13,tp14,tp15,tp16,tp17,tp18,tp19,tp20,outer_fold
diagnostic_persistence_split_095_single_sample,Hog_assembly_Colette,144.79166666666666,457.0,2201.0,2522.0,27.549999999999997,6.0,8.0,11.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,18.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,18.0,6.0,7.0,11.0,15.0,15.0,12.0,12.0,10.0,11.0,16.0,17.0,18.0,18.0,20.0,20.0,20.0,20.0,20.0,16.0,19.0,18.0,2
diagnostic_persistence_split_095_single_sample,Hog_assembly_Dona,144.79166666666666,289.0,1380.0,1671.0,16.766666666666666,3.0,13.0,17.0,20.0,20.0,20.0,20.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,3.0,13.0,17.0,20.0,20.0,18.0,9.0,7.0,12.0,17.0,16.0,15.0,10.0,15.0,15.0,11.0,14.0,15.0,13.0,14.0,17.0,2
diagnostic_persistence_split_095_single_sample,Lamb_assembly_Bertie,144.79166666666666,64.0,317.0,506.0,5.191666666666666,4.0,8.0,15.0,15.0,15.0,15.0,13.0,14.0,16.0,18.0,19.0,20.0,20.0,20.0,20.0,20.0,19.0,18.0,17.0,16.0,15.0,4.0,8.0,14.0,15.0,15.0,15.0,2.0,5.0,6.0,10.0,12.0,14.0,5.0,1.0,20.0,4.0,3.0,18.0,3.0,2.0,13.0,2
diagnostic_persistence_split_095_single_sample,Lamb_assembly_Cesar,144.79166666666666,0.0,7.0,101.0,1.525,9.0,12.0,16.0,20.0,19.0,18.0,13.0,10.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,18.0,19.0,20.0,9.0,12.0,16.0,20.0,19.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
diagnostic_persistence_split_095_single_sample,Moose_education_Ricardo,144.04166666666666,1.0,86.0,278.0,3.1666666666666665,3.0,7.0,15.0,15.0,16.0,17.0,17.0,19.0,20.0,20.0,20.0,20.0,20.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,15.0,3.0,7.0,15.0,15.0,16.0,17.0,0.0,0.0,4.0,20.0,20.0,20.0,0.0,4.0,18.0,0.0,3.0,15.0,0.0,1.0,14.0,2
diagnostic_persistence_split_095_single_sample,Mouse_health_Estela,144.79166666666666,102.0,545.0,788.0,7.708333333333333,6.0,11.0,18.0,17.0,16.0,15.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,18.0,19.0,20.0,20.0,20.0,20.0,6.0,11.0,18.0,17.0,16.0,14.0,5.0,4.0,5.0,15.0,15.0,15.0,3.0,10.0,17.0,8.0,14.0,20.0,1.0,9.0,20.0,2
diagnostic_persistence_split_095_single_sample,Mouse_health_Justin,144.79166666666666,180.0,918.0,1208.0,13.358333333333333,4.0,8.0,16.0,18.0,19.0,20.0,17.0,20.0,19.0,20.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,4.0,7.0,16.0,18.0,19.0,19.0,8.0,11.0,12.0,20.0,19.0,18.0,13.0,16.0,15.0,8.0,15.0,15.0,7.0,15.0,15.0,2
c0000_f5146f1247fa,Eagle_assembly_Benny,144.79166666666666,376.0,1759.0,2059.0,23.816666666666666,8.0,11.0,16.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,8.0,11.0,16.0,19.0,20.0,19.0,7.0,14.0,8.0,19.0,19.0,16.0,10.0,15.0,15.0,12.0,15.0,15.0,13.0,14.0,15.0,1
c0000_f5146f1247fa,Eagle_assembly_Ian,144.79166666666666,224.0,1049.0,1336.0,13.975,5.0,8.0,12.0,15.0,15.0,15.0,13.0,15.0,15.0,15.0,16.0,17.0,18.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,5.0,8.0,12.0,15.0,15.0,14.0,5.0,5.0,8.0,15.0,16.0,17.0,13.0,18.0,20.0,15.0,19.0,20.0,11.0,17.0,19.0,1
c0000_f5146f1247fa,Fox_education_Henrietta,144.79166666666666,291.0,1354.0,1625.0,17.78333333333333,6.0,11.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,6.0,11.0,15.0,18.0,20.0,20.0,11.0,4.0,7.0,19.0,18.0,14.0,9.0,11.0,12.0,12.0,13.0,15.0,7.0,14.0,15.0,1
