dataset,horizon,level,method,native_n,common_n,native_coverage,common_coverage,coverage_support_delta,available,unavailable,below_fraction,above_fraction,cal_own_prediction_bias,test_own_prediction_bias,cal_absolute_error_q95,test_absolute_error_q95,mpiw,winkler,score_convention,score_pool,units
pleia,6,0.9,recentred_enbpi_static,9907,9902,0.04320177652165136,0.043223591193698244,-2.1814672046885364e-05,9907,0,0.0004037549207630968,0.9563944685575856,-1.1816072199555645,-4.7131989262137886,3.6354524999999995,7.761101,2.3588968276977553,73.05218502068553,native MAPIE OOB calibration score,fixed historical calibration,degrees Celsius
pleia,6,0.9,recentred_enbpi_updated,9907,9902,0.7627939840516806,0.7626742072308624,0.00011977682081820706,9907,0,0.0014131422226708388,0.23579287372564853,-1.1816072199555645,-4.7131989262137886,3.6354524999999995,7.761101,6.302348137074796,10.22732237145453,signed own-point online residual with finite sample ranks,historical calibration plus causal available released scores,degrees Celsius
pleia,6,0.9,dscp,9902,9902,0.42324782872147043,0.42324782872147043,0.0,9902,0,0.0127247020803878,0.5640274691981418,-0.9990197673491228,-4.270290633216816,3.151344375610351,7.266496715545652,3.5222552103217093,23.49114152314664,frozen cluster/step signed y-minus-matched-XGBoost prediction; linear quantiles,joint-origin calibration,degrees Celsius
pleia,6,0.95,quantile_uncalibrated,9907,9902,0.038356717472494195,0.0383760856392648,-1.9368166770603046e-05,9907,0,0.0,0.9616432825275057,-1.1124782719021185,-4.809570358056448,3.6411377986258824,7.696343553522122,2.9762600303859466,127.51760042157599,none: uncalibrated raw quantiles,fixed historical calibration,degrees Celsius
pleia,6,0.95,cqr,9907,9902,0.3737761178964369,0.37345990708947685,0.0003162108069600378,9907,0,0.0,0.6262238821035632,-1.1124782719021185,-4.809570358056448,3.6411377986258824,7.696343553522122,5.313495245145343,51.77023990714983,asymmetric native tails,fixed historical calibration,degrees Celsius
pleia,6,0.95,recentred_enbpi_static,9907,9902,0.05541536287473504,0.05544334477883256,-2.798190409752238e-05,9907,0,0.0002018774603815484,0.9443827596648834,-1.1816072199555645,-4.7131989262137886,3.6354524999999995,7.761101,2.9291162490844727,136.03978089630692,native MAPIE OOB calibration score,fixed historical calibration,degrees Celsius
pleia,6,0.95,recentred_enbpi_updated,9907,9902,0.861411123448067,0.8613411432033933,6.998024467375075e-05,9907,0,0.0008075098415261935,0.13778136671040678,-1.1816072199555645,-4.7131989262137886,3.6354524999999995,7.761101,7.110469999596245,10.747813433531844,signed own-point online residual with finite sample ranks,historical calibration plus causal available released scores,degrees Celsius
pleia,6,0.95,dscp,9902,9902,0.49585942233892144,0.49585942233892144,0.0,9902,0,0.007372248030700869,0.4967683296303777,-0.9990197673491228,-4.270290633216816,3.151344375610351,7.266496715545652,4.246581615295053,35.83427500426613,frozen cluster/step signed y-minus-matched-XGBoost prediction; linear quantiles,joint-origin calibration,degrees Celsius
rico,5,0.9,quantile_uncalibrated,8692,6437,0.4402899217671422,0.41603231318937395,0.024257608577768264,8692,0,0.531408191440405,0.02830188679245283,0.007725756119135967,0.04022948736067146,0.22484453213122138,0.646819777946422,2.198081965845659,8.75483852459102,none: uncalibrated raw quantiles,fixed historical calibration,degrees Celsius
rico,5,0.9,cqr,8692,6437,0.47653014265991717,0.4483455025633059,0.028184640096611258,8692,0,0.507478140819144,0.015991716520938795,0.007725756119135967,0.04022948736067146,0.22484453213122138,0.646819777946422,2.286633189145574,8.4896358867467,asymmetric native tails,fixed historical calibration,degrees Celsius
