dataset,recalibration_strategy,block_start,block_index,n,empirical_coverage,coverage_deviation,mean_interval_width,post_shift
rico,periodic,5781,19,60,0.85,0.09999999999999998,0.5972343803768567,True
rico,periodic,5841,20,60,1.0,0.050000000000000044,0.597128813804341,True
rico,periodic,5901,21,60,1.0,0.050000000000000044,0.5965451195100587,True
rico,periodic,5961,22,60,0.8833333333333333,0.06666666666666665,0.5961889716039264,True
rico,periodic,6021,23,60,1.0,0.050000000000000044,0.5959518681926578,True
rico,periodic,6081,24,60,1.0,0.050000000000000044,0.595291593171693,True
rico,periodic,6141,25,60,0.9166666666666666,0.033333333333333326,0.5948213498151669,True
rico,periodic,6201,26,60,0.7833333333333333,0.16666666666666663,0.5975256415790866,True
rico,periodic,6261,27,60,1.0,0.050000000000000044,0.5982622226245919,True
rico,periodic,6321,28,60,1.0,0.050000000000000044,0.597928575809681,True
rico,periodic,6381,29,60,1.0,0.050000000000000044,0.5975902695345586,True
rico,periodic,6441,30,60,1.0,0.050000000000000044,0.5970807951045872,True
rico,periodic,6501,31,60,1.0,0.050000000000000044,0.5964890026781916,True
rico,periodic,6561,32,60,1.0,0.050000000000000044,0.5952843717959018,True
rico,periodic,6621,33,60,0.9666666666666667,0.01666666666666672,0.5938047292964249,True
rico,periodic,6681,34,60,0.9666666666666667,0.01666666666666672,0.5922303976418196,True
rico,periodic,6741,35,60,0.9833333333333333,0.033333333333333326,0.591908000546071,True
rico,periodic,6801,36,60,1.0,0.050000000000000044,0.5914333871850687,True
rico,periodic,6861,37,60,1.0,0.050000000000000044,0.5905405227670658,True
rico,periodic,6921,38,60,1.0,0.050000000000000044,0.5892221841211921,True
rico,periodic,6981,39,60,1.0,0.050000000000000044,0.5881082774309031,True
rico,periodic,7041,40,60,0.9833333333333333,0.033333333333333326,0.5876417190207228,True
rico,periodic,7101,41,60,1.0,0.050000000000000044,0.5870912409020467,True
rico,periodic,7161,42,60,1.0,0.050000000000000044,0.586162566887904,True
rico,periodic,7221,43,60,1.0,0.050000000000000044,0.5850290966215314,True
