dataset,horizon,level,method,distribution,n,mean,q1,q5,q25,q50,q75,q95,q99
pleia,3,0.95,recentred_enbpi_static,own_calibration_signed_error,4952,0.9827164119547658,-1.045484110000002,-0.5105191000000001,0.14198999999999984,0.7521969999999989,1.7300890000000004,3.0940433999999994,4.355571109999999
pleia,3,0.95,recentred_enbpi_static,own_test_signed_error,9907,4.375271868577773,0.11236877999999983,1.0957806000000005,2.9477530000000023,4.452252000000001,5.888041000000001,7.283979000000002,7.983978999999998
pleia,3,0.95,recentred_enbpi_static,native_calibration_score,4528,0.005127521229576645,-1.7184399553934733,-0.9592193412780771,-0.32052222887675086,0.01841840744018519,0.35682913462320975,0.9534727478027339,1.3801410846710156
pleia,6,0.9,cqr,own_calibration_signed_error,4951,1.1124782719021185,-1.349288048931891,-0.7087180576310335,0.051573906595638874,0.8344509413511645,2.10764592980364,3.6411377986258824,4.7525013182602045
pleia,6,0.9,cqr,own_test_signed_error,9907,4.809570358056448,0.20157192718119862,1.2990859499342697,3.486205241559471,4.923914996698581,6.3058026410783015,7.696343553522122,8.366340132416356
pleia,6,0.9,cqr,native_calibration_score,14853,-0.39978603387941425,-4.8782835765469095,-3.7426255436997016,-1.2084985962542163,-0.3585232686318669,0.609729273085545,2.297411270974955,3.3901189499862383
pleia,6,0.95,cqr,own_calibration_signed_error,4951,1.1124782719021185,-1.349288048931891,-0.7087180576310335,0.051573906595638874,0.8344509413511645,2.10764592980364,3.6411377986258824,4.7525013182602045
pleia,6,0.95,cqr,own_test_signed_error,9907,4.809570358056448,0.20157192718119862,1.2990859499342697,3.486205241559471,4.923914996698581,6.3058026410783015,7.696343553522122,8.366340132416356
pleia,6,0.95,cqr,native_calibration_score,14853,-0.6434574431990271,-4.929019142105206,-3.805200641778641,-1.4425380113523367,-0.5604009561388636,0.3967249061162974,1.8127647835556928,2.7753427872352283
pleia,6,0.9,recentred_enbpi_static,own_calibration_signed_error,4951,1.1816072199555645,-1.3053695000000012,-0.6044824999999996,0.1605805000000018,0.9635560000000005,2.085539500000001,3.6354524999999995,4.819100000000001
pleia,6,0.9,recentred_enbpi_static,own_test_signed_error,9907,4.7131989262137886,0.23875644000000065,1.3239046000000003,3.308771,4.771619999999999,6.197890000000001,7.761101,8.361984600000001
pleia,6,0.9,recentred_enbpi_static,native_calibration_score,4527,-0.00024938668341688747,-2.071815319061279,-1.1519879150390626,-0.4249009768168115,-0.004368209838865766,0.4364015261332188,1.2048864746093746,1.6933007253011054
pleia,6,0.95,recentred_enbpi_static,own_calibration_signed_error,4951,1.1816072199555645,-1.3053695000000012,-0.6044824999999996,0.1605805000000018,0.9635560000000005,2.085539500000001,3.6354524999999995,4.819100000000001
pleia,6,0.95,recentred_enbpi_static,own_test_signed_error,9907,4.7131989262137886,0.23875644000000065,1.3239046000000003,3.308771,4.771619999999999,6.197890000000001,7.761101,8.361984600000001
pleia,6,0.95,recentred_enbpi_static,native_calibration_score,4527,-0.00024938668341688747,-2.071815319061279,-1.1519879150390626,-0.4249009768168115,-0.004368209838865766,0.4364015261332188,1.2048864746093746,1.6933007253011054
rico,5,0.9,cqr,own_calibration_signed_error,4452,-0.007725756119135967,-0.2957587804580472,-0.18833974244390284,-0.061873072730112,-0.00039249910509475683,0.043041668894980845,0.12583922245651508,0.3141720742014124
rico,5,0.9,cqr,own_test_signed_error,8692,-0.04022948736067146,-1.8341209742551428,-0.6297853266053179,-0.08373057653053984,0.027234474860964752,0.11785688074803691,0.27305751431655684,0.46337237412876076
