dataset,horizon,outer_fold,model,mae,rmse,coverage90,coverage95,mpiw90,mpiw95,winkler90,winkler95,model_phase_seconds,process_cpu_seconds,aggregation
bdg2,1,0,attention_lstm,17.190969208073795,31.883536529071527,0.893725672456864,0.9451286818102597,84.05259680664061,122.64692890625,157.02575797390486,208.92356985138858,910.6784564799979,895.925,mean across five training seeds within one outer fold; descriptive only
rico,5,1,attention_lstm,0.7859969176008468,0.9590640429718024,0.9685457892314773,0.9938104003681545,4.263726348876953,5.290244903564452,4.463895431778369,5.320472703381611,111.50950676001375,109.959375,mean across five training seeds within one outer fold; descriptive only
rico,5,1,persistence,0.11341463414634148,0.17473271943102328,0.8520478601012427,0.9351127473538886,0.3999999999999986,0.6000000000000014,0.8960883571099881,1.0970087436723412,0.005725079990224913,0.0125,mean across five training seeds within one outer fold; descriptive only
rico,5,1,xgboost,0.13868007702921806,0.24203102913135707,0.866658996778647,0.9176944316612976,0.4537716674804685,0.591487808227538,1.1703411242032566,1.737622433595265,4.712647459993605,4.125,mean across five training seeds within one outer fold; descriptive only
rico,5,2,attention_lstm,2.682444617573808,3.049178185674186,0.10499309710078233,0.1339852738150023,1.5437522888183608,1.9182635498046878,40.590244886220134,73.36137746615168,111.10605801999918,108.3375,mean across five training seeds within one outer fold; descriptive only
rico,5,2,persistence,0.07447077772664519,0.12451008457023498,0.9282098481362173,0.9723884031293142,0.3999999999999986,0.6000000000000014,0.6013345605154169,0.7808559595029918,0.007501820000470616,0.0125,mean across five training seeds within one outer fold; descriptive only
rico,5,2,xgboost,0.27129441101102303,0.4359854217469599,0.5125172572480442,0.6790612057063967,0.349825439453123,0.559561309814454,3.278084796145395,4.758052083211612,5.086188839995884,4.95,mean across five training seeds within one outer fold; descriptive only
rico,15,0,attention_lstm,0.5033818057624805,0.640655521687549,0.9009440478931614,0.9490444393276537,2.183912734985351,2.631624755859376,2.7935550995013583,3.196594584107316,138.2282447200094,136.103125,mean across five training seeds within one outer fold; descriptive only
rico,15,0,persistence,0.31010822012433803,0.5257189194087168,0.9186046511627908,0.9485378770435183,1.6000000000000014,2.200000000000003,2.721344692608796,3.611466728068154,0.006424579996382818,0.009375,mean across five training seeds within one outer fold; descriptive only
rico,15,0,xgboost,0.2071838712022514,0.2954583299624117,0.865392585770205,0.9128943126870827,0.7872335815429693,0.9877574157714847,1.4367060888414689,1.851721608835844,5.439017619984225,4.88125,mean across five training seeds within one outer fold; descriptive only
rico,15,1,attention_lstm,0.8942189123296013,1.1034740338181694,0.9508814296063752,0.9804878048780488,4.211644439697265,5.023208160400391,4.583055916855053,5.286083700902736,98.31721724000526,96.65,mean across five training seeds within one outer fold; descriptive only
rico,15,1,persistence,0.3265394832166143,0.4836895350204883,0.8235933349432504,0.8930210094180151,1.0,1.5999999999999943,2.636319729533929,3.1633904853900083,0.005802140000741929,0.009375,mean across five training seeds within one outer fold; descriptive only
rico,15,1,xgboost,0.42966017896039166,0.5824992720614783,0.8590920067616518,0.9045641149480803,1.7812651824951176,2.0854206848144528,2.6714073821203455,3.1519262543866895,5.122355140000582,4.275,mean across five training seeds within one outer fold; descriptive only
rico,15,2,attention_lstm,2.8536583813075653,3.231402142635742,0.09222410045882637,0.1281091523786525,1.5275808715820318,2.0085559082031224,44.09499769209434,78.4763243457874,100.207362739995,98.465625,mean across five training seeds within one outer fold; descriptive only
rico,15,2,persistence,0.20938179183772038,0.33076021266260025,0.9153586090316349,0.9629316590195603,1.0,1.6000000000000014,1.658295097802463,2.1462448683892776,0.007680160000745673,0.00625,mean across five training seeds within one outer fold; descriptive only
rico,15,2,xgboost,0.4097844787151795,0.5909551648954358,0.6297754165660469,0.8017145617000725,0.7938278198242216,1.391570892333985,4.006332166976203,4.605092692113788,5.004832679993706,4.875,mean across five training seeds within one outer fold; descriptive only
rico,30,0,attention_lstm,0.6286789333901881,0.8121795155654729,0.8898395721925134,0.9424947145877379,2.562013626098633,3.2916192626953134,3.6148894913085963,4.202641740923955,91.25318937998964,89.84375,mean across five training seeds within one outer fold; descriptive only
rico,30,0,persistence,0.582676284044273,0.9574682395113305,0.9165526675786595,0.9461509762467355,3.0,4.0,4.920905360029847,6.444472080586989,0.006503019982483238,0.0125,mean across five training seeds within one outer fold; descriptive only
rico,30,0,xgboost,0.3819369335907517,0.5609230040414338,0.8492227334908593,0.8997637109812212,1.4121985626220706,1.809044647216797,2.8459104947992833,3.730878157960197,5.38671493997681,4.7,mean across five training seeds within one outer fold; descriptive only
rico,30,1,attention_lstm,1.0224326823552865,1.2950902303308498,0.8931263858093127,0.9443589409156123,4.3173115539550775,5.025857543945312,5.44999259830314,6.085648094088683,88.5732405000017,87.125,mean across five training seeds within one outer fold; descriptive only
rico,30,1,persistence,0.6189122212077736,0.8909132167183795,0.8014868918742664,0.8923959827833572,1.8000000000000043,2.799999999999997,4.878387896178424,5.8682144254597635,0.005501199985155835,0.009375,mean across five training seeds within one outer fold; descriptive only
rico,30,1,xgboost,0.8019799975047791,1.050661067989148,0.8571279509586539,0.9163688535281075,3.3537754821777357,3.978981170654298,4.588710765328637,4.999846244205997,4.974131260014838,4.121875,mean across five training seeds within one outer fold; descriptive only
rico,30,2,attention_lstm,3.020972044101296,3.389634423225079,0.08832659449589149,0.10893439415677579,1.7083763122558593,2.081584320068359,45.838438676540804,83.57938851205869,93.08076328000898,91.29375,mean across five training seeds within one outer fold; descriptive only
rico,30,2,persistence,0.38969610016955786,0.5994280130858491,0.921612103821573,0.9641319942611191,2.0,3.0,3.0014347202295553,3.8623972870744745,0.00766074000421213,0.009375,mean across five training seeds within one outer fold; descriptive only
rico,30,2,xgboost,0.6620651261934296,0.9162602772976174,0.6504238946132777,0.833494195904526,1.3446467590332034,2.435462493896485,6.06302632232463,6.805998003078868,4.640403980003612,4.521875,mean across five training seeds within one outer fold; descriptive only
rico,60,0,attention_lstm,0.9086401982477657,1.1494354807616134,0.8479336394608206,0.9242186342764034,3.325294265747071,4.0317393493652345,4.951614466189562,5.717803955914407,90.45877718001138,89.121875,mean across five training seeds within one outer fold; descriptive only
rico,60,0,persistence,1.0726114649681526,1.6478998722733915,0.9086061324248259,0.9425270330321434,5.199999999999995,6.799999999999999,8.281913790549547,10.610398459487481,0.005828819994349033,0.0125,mean across five training seeds within one outer fold; descriptive only
