dataset,group_id,target_id,n_rows,start,end,freq,season_steps,seasonal_naive_supported,n_train,n_calibration,n_test
rico,P4S25,B.RTD3,240,2024-02-02 19:01:00,2024-02-02 23:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S26,B.RTD3,240,2024-02-02 23:01:00,2024-02-03 03:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S27,B.RTD3,240,2024-02-03 03:01:00,2024-02-03 07:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S28,B.RTD3,240,2024-02-03 07:01:00,2024-02-03 11:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S29,B.RTD3,240,2024-02-03 11:01:00,2024-02-03 15:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S30,B.RTD3,240,2024-02-03 15:01:00,2024-02-03 19:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S31,B.RTD3,240,2024-02-03 19:01:00,2024-02-03 23:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S32,B.RTD3,240,2024-02-03 23:01:00,2024-02-04 03:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S33,B.RTD3,240,2024-02-04 03:01:00,2024-02-04 07:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S34,B.RTD3,240,2024-02-04 07:01:00,2024-02-04 11:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S35,B.RTD3,240,2024-02-04 11:01:00,2024-02-04 15:00:00,0 days 00:01:00,,False,240,0,0
rico,P4S36,B.RTD3,240,2024-02-04 15:01:00,2024-02-04 19:00:00,0 days 00:01:00,,False,0,240,0
rico,P4S37,B.RTD3,240,2024-02-04 19:01:00,2024-02-04 23:00:00,0 days 00:01:00,,False,0,240,0
rico,P4S38,B.RTD3,240,2024-02-04 23:01:00,2024-02-05 03:00:00,0 days 00:01:00,,False,0,240,0
rico,P4S39,B.RTD3,240,2024-02-05 03:01:00,2024-02-05 07:00:00,0 days 00:01:00,,False,0,240,0
rico,P4S40,B.RTD3,240,2024-02-05 07:01:00,2024-02-05 11:00:00,0 days 00:01:00,,False,0,240,0
rico,P4S41,B.RTD3,240,2024-02-05 11:01:00,2024-02-05 15:00:00,0 days 00:01:00,,False,0,240,0
rico,P4S42,B.RTD3,240,2024-02-05 15:01:00,2024-02-05 19:00:00,0 days 00:01:00,,False,0,240,0
rico,P4S43,B.RTD3,240,2024-02-05 19:01:00,2024-02-05 23:00:00,0 days 00:01:00,,False,0,240,0
rico,P4S44,B.RTD3,240,2024-02-05 23:01:00,2024-02-06 03:00:00,0 days 00:01:00,,False,0,240,0
rico,P4S45,B.RTD3,240,2024-02-06 03:01:00,2024-02-06 07:00:00,0 days 00:01:00,,False,0,240,0
rico,P4S46,B.RTD3,240,2024-02-06 07:01:00,2024-02-06 11:00:00,0 days 00:01:00,,False,0,240,0
rico,P4S47,B.RTD3,240,2024-02-06 11:01:00,2024-02-06 15:00:00,0 days 00:01:00,,False,0,240,0
rico,P4S48,B.RTD3,240,2024-02-06 15:01:00,2024-02-06 19:00:00,0 days 00:01:00,,False,0,240,0
rico,P4S49,B.RTD3,240,2024-02-06 19:01:00,2024-02-06 23:00:00,0 days 00:01:00,,False,0,240,0
rico,P4S50,B.RTD3,240,2024-02-06 23:01:00,2024-02-07 03:00:00,0 days 00:01:00,,False,0,240,0
rico,P4S51,B.RTD3,240,2024-02-07 03:01:00,2024-02-07 07:00:00,0 days 00:01:00,,False,0,240,0
rico,P4S52,B.RTD3,240,2024-02-07 07:01:00,2024-02-07 11:00:00,0 days 00:01:00,,False,0,240,0
rico,P4S53,B.RTD3,240,2024-02-07 11:01:00,2024-02-07 15:00:00,0 days 00:01:00,,False,0,240,0
rico,P4S54,B.RTD3,240,2024-02-07 15:01:00,2024-02-07 19:00:00,0 days 00:01:00,,False,0,240,0
rico,P4S55,B.RTD3,240,2024-02-07 19:01:00,2024-02-07 23:00:00,0 days 00:01:00,,False,0,240,0
rico,P4S56,B.RTD3,240,2024-02-07 23:01:00,2024-02-08 03:00:00,0 days 00:01:00,,False,0,240,0
rico,P4S57,B.RTD3,240,2024-02-08 03:01:00,2024-02-08 07:00:00,0 days 00:01:00,,False,0,240,0
rico,P4S58,B.RTD3,240,2024-02-08 07:01:00,2024-02-08 11:00:00,0 days 00:01:00,,False,0,240,0
rico,P5S0,B.RTD3,240,2024-05-08 07:01:00,2024-05-08 11:00:00,0 days 00:01:00,,False,0,240,0
rico,P5S1,B.RTD3,240,2024-05-08 11:01:00,2024-05-08 15:00:00,0 days 00:01:00,,False,0,240,0
rico,P5S2,B.RTD3,240,2024-05-08 15:01:00,2024-05-08 19:00:00,0 days 00:01:00,,False,0,240,0
rico,P5S3,B.RTD3,240,2024-05-08 19:01:00,2024-05-08 23:00:00,0 days 00:01:00,,False,0,240,0
rico,P5S4,B.RTD3,240,2024-05-08 23:01:00,2024-05-09 03:00:00,0 days 00:01:00,,False,0,240,0
rico,P5S5,B.RTD3,240,2024-05-09 03:01:00,2024-05-09 07:00:00,0 days 00:01:00,,False,0,240,0
rico,P5S6,B.RTD3,240,2024-05-09 07:01:00,2024-05-09 11:00:00,0 days 00:01:00,,False,0,240,0
rico,P5S7,B.RTD3,240,2024-05-09 11:01:00,2024-05-09 15:00:00,0 days 00:01:00,,False,0,240,0
rico,P5S8,B.RTD3,240,2024-05-09 15:01:00,2024-05-09 19:00:00,0 days 00:01:00,,False,0,240,0
rico,P5S9,B.RTD3,240,2024-05-09 19:01:00,2024-05-09 23:00:00,0 days 00:01:00,,False,0,240,0
rico,P5S10,B.RTD3,240,2024-05-09 23:01:00,2024-05-10 03:00:00,0 days 00:01:00,,False,0,240,0
rico,P5S11,B.RTD3,240,2024-05-10 03:01:00,2024-05-10 07:00:00,0 days 00:01:00,,False,0,240,0
rico,P5S12,B.RTD3,240,2024-05-10 07:01:00,2024-05-10 11:00:00,0 days 00:01:00,,False,0,240,0
rico,P5S13,B.RTD3,240,2024-05-10 11:01:00,2024-05-10 15:00:00,0 days 00:01:00,,False,0,240,0
rico,P5S14,B.RTD3,240,2024-05-10 15:01:00,2024-05-10 19:00:00,0 days 00:01:00,,False,0,240,0
rico,P5S15,B.RTD3,240,2024-05-10 19:01:00,2024-05-10 23:00:00,0 days 00:01:00,,False,0,240,0
rico,P5S16,B.RTD3,240,2024-05-10 23:01:00,2024-05-11 03:00:00,0 days 00:01:00,,False,0,240,0
rico,P5S17,B.RTD3,240,2024-05-11 03:01:00,2024-05-11 07:00:00,0 days 00:01:00,,False,0,240,0
rico,P5S18,B.RTD3,240,2024-05-11 07:01:00,2024-05-11 11:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S19,B.RTD3,240,2024-05-11 11:01:00,2024-05-11 15:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S20,B.RTD3,240,2024-05-11 15:01:00,2024-05-11 19:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S21,B.RTD3,240,2024-05-11 19:01:00,2024-05-11 23:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S22,B.RTD3,240,2024-05-11 23:01:00,2024-05-12 03:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S23,B.RTD3,240,2024-05-12 03:01:00,2024-05-12 07:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S24,B.RTD3,240,2024-05-12 07:01:00,2024-05-12 11:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S25,B.RTD3,240,2024-05-12 11:01:00,2024-05-12 15:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S26,B.RTD3,240,2024-05-12 15:01:00,2024-05-12 19:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S27,B.RTD3,240,2024-05-12 19:01:00,2024-05-12 23:00:00,0 days 00:01:00,,False,0,0,240
rico,P5S28,B.RTD3,240,2024-05-12 23:01:00,2024-05-13 03:00:00,0 days 00:01:00,,False,0,0,240
