dataset,outer_fold,model_seed,horizon,level,method,support,n,coverage,signed_coverage_deviation,absolute_coverage_deviation,mpiw,winkler,mae,rmse,sum_absolute_error,sum_squared_error,sum_width,sum_winkler,covered_count,available_count,unavailable_count,raw_crossed,status
pleia_energy,2,42,6,0.95,dscp,common,9902,0.737830741264391,-0.212169258735609,0.212169258735609,0.266228555180727,2.36172008495736,0.128824599797158,0.246184005903148,1275.62118719146,600.126204278484,2636.19515339956,23385.7522812478,7306,9902,0,0,complete
pleia,2,42,1,0.9,quantile_uncalibrated,common,9902,0.140678650777621,-0.759321349222379,0.759321349222379,1.92677383165819,46.9754912881789,3.16123817093348,3.58526039388696,31302.5803685833,127281.219894731,19078.9144810794,465151.314735547,1393,9902,0,0,complete
pleia,2,42,1,0.9,cqr,common,9902,0.255402948899212,-0.644597051100788,0.644597051100788,2.7241715297346,34.5919100096815,3.16123817093348,3.58526039388696,31302.5803685833,127281.219894731,26974.746487432,342529.092915866,2529,9902,0,0,complete
pleia,2,42,1,0.9,recentred_enbpi_static,common,9902,0.0663502322763078,-0.833649767723692,0.833649767723692,1.30072860717774,51.8132024788514,3.15505687810543,3.5492677465983,31241.373207,124738.479819799,12879.8146682739,513054.330945587,657,9902,0,0,complete
pleia,2,42,1,0.9,recentred_enbpi_updated,common,9902,0.754797010704908,-0.145202989295092,0.145202989295092,4.24429229711169,8.06268140638255,3.15505687810543,3.5492677465983,31241.373207,124738.479819799,42026.982326,79836.671286,7474,9902,0,0,complete
pleia,2,42,1,0.9,dscp,common,9902,0.3986063421531,-0.5013936578469,0.5013936578469,1.82440024104896,19.4721219035915,2.2615228701495,2.66620605056123,22393.5994602203,70389.8988794964,18065.2111868668,192812.951089363,3947,9902,0,0,complete
pleia,2,42,1,0.95,quantile_uncalibrated,common,9902,0.214603110482731,-0.735396889517269,0.735396889517269,2.50840304497103,74.5088242853502,3.16123817093348,3.58526039388696,31302.5803685833,127281.219894731,24838.2069513031,737786.378073537,2125,9902,0,0,complete
pleia,2,42,1,0.95,cqr,common,9902,0.312058170066653,-0.637941829933347,0.637941829933347,3.25233277643281,55.4397056048019,3.16123817093348,3.58526039388696,31302.5803685833,127281.219894731,32204.5991522377,548963.964898749,3090,9902,0,0,complete
pleia,2,42,1,0.95,recentred_enbpi_static,common,9902,0.0879620278731569,-0.862037972126843,0.862037972126843,1.69443273544312,97.254395813442,3.15505687810543,3.5492677465983,31241.373207,124738.479819799,16778.2729463577,963013.027344702,871,9902,0,0,complete
pleia,2,42,1,0.95,recentred_enbpi_updated,common,9902,0.852555039385983,-0.0974449606140173,0.0974449606140173,4.85511544718239,8.50549864249646,3.15505687810543,3.5492677465983,31241.373207,124738.479819799,48075.353158,84221.447558,8442,9902,0,0,complete
pleia,2,42,1,0.95,dscp,common,9902,0.460008079175924,-0.489991920824076,0.489991920824076,2.23966186924863,31.4121977176639,2.2615228701495,2.66620605056123,22393.5994602203,70389.8988794964,22177.1318292999,311043.581800308,4555,9902,0,0,complete
pleia,2,42,3,0.9,quantile_uncalibrated,common,9902,0.063623510401939,-0.836376489598061,0.836376489598061,2.21042221791045,58.2408437655846,4.04215561580739,4.46315992907204,40025.4249077247,197245.825462601,21887.6008017493,576700.834966818,630,9902,0,0,complete
pleia,2,42,3,0.9,cqr,common,9902,0.269642496465361,-0.630357503534639,0.630357503534639,3.7696867768163,33.3081717523969,4.04215561580739,4.46315992907204,40025.4249077247,197245.825462601,37327.438464035,329817.516692234,2670,9902,0,0,complete
pleia,2,42,3,0.9,recentred_enbpi_static,common,9902,0.0384770753383155,-0.861522924661685,0.861522924661685,1.92090873718262,70.6979134760922,4.38238844677843,4.77577669371277,43394.4104,225845.242065336,19020.8383155823,700050.739240265,381,9902,0,0,complete
pleia,2,42,3,0.9,recentred_enbpi_updated,common,9902,0.753989093112503,-0.146010906887498,0.146010906887498,5.77035989325389,9.7453466009897,4.38238844677843,4.77577669371277,43394.4104,225845.242065336,57138.103663,96498.422043,7466,9902,0,0,complete
pleia,2,42,3,0.9,dscp,common,9902,0.371642092506564,-0.528357907493436,0.528357907493436,2.71356519941031,23.9071247370695,3.52358276896514,3.91758646964722,34890.5165782928,151970.784064408,26869.7226045609,236728.349146462,3680,9902,0,0,complete
pleia,2,42,3,0.95,quantile_uncalibrated,common,9902,0.137043021611796,-0.812956978388204,0.812956978388204,3.68997479066653,91.2369935099999,4.04215561580739,4.46315992907204,40025.4249077247,197245.825462601,36538.13037718,903428.709736019,1357,9902,0,0,complete
pleia,2,42,3,0.95,cqr,common,9902,0.335992728741668,-0.614007271258332,0.614007271258332,4.93682799030601,52.6533075396843,4.04215561580739,4.46315992907204,40025.4249077247,197245.825462601,48884.4707600102,521373.051257954,3327,9902,0,0,complete
pleia,2,42,3,0.95,recentred_enbpi_static,common,9902,0.0565542314683902,-0.89344576853161,0.89344576853161,2.45578632354736,131.166175001796,4.38238844677843,4.77577669371277,43394.4104,225845.242065336,24317.196175766,1298807.46486778,560,9902,0,0,complete
pleia,2,42,3,0.95,recentred_enbpi_updated,common,9902,0.854372853968895,-0.0956271460311048,0.0956271460311048,6.49929845738235,10.2252060720057,4.38238844677843,4.77577669371277,43394.4104,225845.242065336,64356.053325,101249.990525,8460,9902,0,0,complete
pleia,2,42,3,0.95,dscp,common,9902,0.461320945263583,-0.488679054736417,0.488679054736417,3.46828723205939,35.8362224475496,3.52358276896514,3.91758646964722,34890.5165782928,151970.784064408,34342.9801718521,354850.274675636,4568,9902,0,0,complete
pleia,2,42,6,0.9,quantile_uncalibrated,common,9902,0.0269642496465361,-0.873035750353464,0.873035750353464,2.3533822074338,74.9265399284923,4.81511471447605,5.18493927570015,47679.2659027419,266201.360588295,23303.1906180095,741922.59837193,267,9902,0,0,complete
