dataset,outer_fold,role,n,groups,origin_min,origin_max,target_min,target_max,asset_days,membership_hash,segments,eligible_onset_positions,guarded_capacity_per_catalogue,request_per_catalogue,frequency_minutes,horizon_steps
pleia_energy,2,outer_test,9907,1,2021-05-25 14:10:00,2021-08-02 09:10:00,2021-05-25 14:20:00,2021-08-02 09:20:00,68.79861111111111,967927a43301a0f0e6fc85f6776f5cf809e1b2a0a666298be978cabe1089d857,1,9895,236,34,10.0,1
pleia_energy,2,inner0_train,3713,1,2021-01-07 23:50:00,2021-02-02 18:30:00,2021-01-08 00:00:00,2021-02-02 18:40:00,25.78472222222222,0c050bcbd0085b920ed90f6e2d77e8f254b5a5586c12d217575989b931bed6d0,1,3701,89,13,10.0,1
pleia_energy,2,inner0_calibration,3714,1,2021-02-02 18:50:00,2021-02-28 13:40:00,2021-02-02 19:00:00,2021-02-28 13:50:00,25.791666666666668,c8151c1a593fed96e3144eacc267ff1028f712399ebfb4351527d3c7c86a8b2f,1,3702,89,13,10.0,1
pleia_energy,2,inner0_selection,3713,1,2021-02-28 14:00:00,2021-03-26 08:40:00,2021-02-28 14:10:00,2021-03-26 08:50:00,25.78472222222222,09a56eb15473ab3ec312617b7c46c9a4d24ca2c0217181331cae5662158df378,1,3701,89,13,10.0,1
pleia_energy,2,inner1_train,7427,1,2021-01-07 23:50:00,2021-02-28 13:40:00,2021-01-08 00:00:00,2021-02-28 13:50:00,51.576388888888886,ee8fd15110478103c21a2d915b10457e437575a0cf8df9818dcc293aa6ff4ab5,2,7403,178,26,10.0,1
pleia_energy,2,inner1_calibration,3713,1,2021-02-28 14:00:00,2021-03-26 08:40:00,2021-02-28 14:10:00,2021-03-26 08:50:00,25.78472222222222,09a56eb15473ab3ec312617b7c46c9a4d24ca2c0217181331cae5662158df378,1,3701,89,13,10.0,1
pleia_energy,2,inner1_selection,3715,1,2021-03-26 09:00:00,2021-04-21 04:00:00,2021-03-26 09:10:00,2021-04-21 04:10:00,25.79861111111111,116557f08987d3f700f60dd4e0fbbebfc4e30680bf3f114128154fdb1e516365,1,3703,89,13,10.0,1
rico,0,B0,8398,38,2023-07-26 15:15:00,2023-08-03 10:55:00,2023-07-26 15:20:00,2023-08-03 11:00:00,5.831944444444445,3ec4d0c02b57b609e3435e551869e98d39649c2dc54124d4723f9339dd006937,38,5738,38,3,1.0,5
rico,0,B1,8619,39,2023-08-03 15:15:00,2023-08-11 02:55:00,2023-08-03 15:20:00,2023-08-11 03:00:00,5.985416666666667,0f9202ac5116bf3f6c018024a1cd28dd7d08e75dac776c78be433ec6c8059808,39,5889,39,3,1.0,5
rico,0,B2,8398,38,2023-08-11 03:15:00,2024-02-03 02:55:00,2023-08-11 03:20:00,2024-02-03 03:00:00,5.831944444444445,12b0f1e49a941405af2d5047d5f4fee923d5e753eb31baebcb1964d0c1d76a2c,38,5738,38,3,1.0,5
rico,0,B3,8619,39,2024-02-03 03:15:00,2024-05-09 10:55:00,2024-02-03 03:20:00,2024-05-09 11:00:00,5.985416666666667,6847d73a895adc9303d96855ba5c382b49458e8342230c4844da4dd71baacbd6,39,5889,39,3,1.0,5
rico,0,final_fit,34034,154,2023-07-26 15:15:00,2024-05-09 10:55:00,2023-07-26 15:20:00,2024-05-09 11:00:00,23.634722222222223,287c138498c4ac430c341f2ae62b9625a58eb9dde5045c9cf3b7e4d555aa5cbe,154,23254,154,12,1.0,5
rico,0,final_calibration,11492,52,2024-05-09 11:15:00,2024-05-18 02:55:00,2024-05-09 11:20:00,2024-05-18 03:00:00,7.980555555555555,36af935af3c07175b3177af3cb10f6f0a69a1bce44e6585db0f50752e7e15ae5,52,7852,52,4,1.0,5
rico,0,outer_test,221,1,2024-05-18 03:15:00,2024-05-18 06:55:00,2024-05-18 03:20:00,2024-05-18 07:00:00,0.1534722222222222,343c0964c2ca51d1b88c17d90326c11c78db4ef56cb6fba57e761b9773c88b06,1,151,1,0,1.0,5
rico,0,inner0_train,8398,38,2023-07-26 15:15:00,2023-08-03 10:55:00,2023-07-26 15:20:00,2023-08-03 11:00:00,5.831944444444445,3ec4d0c02b57b609e3435e551869e98d39649c2dc54124d4723f9339dd006937,38,5738,38,3,1.0,5
rico,0,inner0_calibration,8619,39,2023-08-03 15:15:00,2023-08-11 02:55:00,2023-08-03 15:20:00,2023-08-11 03:00:00,5.985416666666667,0f9202ac5116bf3f6c018024a1cd28dd7d08e75dac776c78be433ec6c8059808,39,5889,39,3,1.0,5
rico,0,inner0_selection,8398,38,2023-08-11 03:15:00,2024-02-03 02:55:00,2023-08-11 03:20:00,2024-02-03 03:00:00,5.831944444444445,12b0f1e49a941405af2d5047d5f4fee923d5e753eb31baebcb1964d0c1d76a2c,38,5738,38,3,1.0,5
rico,0,inner1_train,17017,77,2023-07-26 15:15:00,2023-08-11 02:55:00,2023-07-26 15:20:00,2023-08-11 03:00:00,11.817361111111111,eeb172f9cd9b92d9480a8dcb5fc1c3a9fea5abcdb3218ad35f788c431e0af6db,77,11627,77,6,1.0,5
rico,0,inner1_calibration,8398,38,2023-08-11 03:15:00,2024-02-03 02:55:00,2023-08-11 03:20:00,2024-02-03 03:00:00,5.831944444444445,12b0f1e49a941405af2d5047d5f4fee923d5e753eb31baebcb1964d0c1d76a2c,38,5738,38,3,1.0,5
rico,0,inner1_selection,8619,39,2024-02-03 03:15:00,2024-05-09 10:55:00,2024-02-03 03:20:00,2024-05-09 11:00:00,5.985416666666667,6847d73a895adc9303d96855ba5c382b49458e8342230c4844da4dd71baacbd6,39,5889,39,3,1.0,5
rico,1,B0,8398,38,2023-07-26 15:15:00,2023-08-03 10:55:00,2023-07-26 15:20:00,2023-08-03 11:00:00,5.831944444444445,3ec4d0c02b57b609e3435e551869e98d39649c2dc54124d4723f9339dd006937,38,5738,38,3,1.0,5
rico,1,B1,8398,38,2023-08-03 15:15:00,2023-08-10 22:55:00,2023-08-03 15:20:00,2023-08-10 23:00:00,5.831944444444445,2b4090e187806b3bd0cfc534c871120632ec0ab91af1f636a0c1e863e9ddfeb8,38,5738,38,3,1.0,5
rico,1,B2,8398,38,2023-08-10 23:15:00,2024-02-02 22:55:00,2023-08-10 23:20:00,2024-02-02 23:00:00,5.831944444444445,e3cc4b75464d0ecf8720dabd8e185c4961c7e3a1cd7f5b4d96ccafd7cd7f0e8a,38,5738,38,3,1.0,5
rico,1,B3,8619,39,2024-02-02 23:15:00,2024-05-09 06:55:00,2024-02-02 23:20:00,2024-05-09 07:00:00,5.985416666666667,e53e5595a14a5d918cc28a39919b0a7667949a0721debb94655eecc13f7199e8,39,5889,39,3,1.0,5
rico,1,final_fit,33813,153,2023-07-26 15:15:00,2024-05-09 06:55:00,2023-07-26 15:20:00,2024-05-09 07:00:00,23.48125,fdd06e09f2c7460b0b4d7da508cc2034528cfbd12bf5bab0314157b5d02cac58,153,23103,153,12,1.0,5
rico,1,final_calibration,11492,52,2024-05-09 07:15:00,2024-05-17 22:55:00,2024-05-09 07:20:00,2024-05-17 23:00:00,7.980555555555555,8b927de7998ec3627f7447832d32d572b22191d9dbdde1e8b4ebb383417eb8e4,52,7852,52,4,1.0,5
rico,1,outer_test,221,1,2024-05-17 23:15:00,2024-05-18 02:55:00,2024-05-17 23:20:00,2024-05-18 03:00:00,0.1534722222222222,9112612c7eeafecc67e385ff4599ea1ba6261b766634be8ba5c573ede9170d35,1,151,1,0,1.0,5
rico,1,inner0_train,8398,38,2023-07-26 15:15:00,2023-08-03 10:55:00,2023-07-26 15:20:00,2023-08-03 11:00:00,5.831944444444445,3ec4d0c02b57b609e3435e551869e98d39649c2dc54124d4723f9339dd006937,38,5738,38,3,1.0,5
rico,1,inner0_calibration,8398,38,2023-08-03 15:15:00,2023-08-10 22:55:00,2023-08-03 15:20:00,2023-08-10 23:00:00,5.831944444444445,2b4090e187806b3bd0cfc534c871120632ec0ab91af1f636a0c1e863e9ddfeb8,38,5738,38,3,1.0,5
