dataset,outer_fold,role,n,groups,origin_min,origin_max,target_min,target_max,asset_days,membership_hash
pleia,2,B0,3713,1,2021-01-08 00:00:00,2021-02-02 18:40:00,2021-01-08 00:10:00,2021-02-02 18:50:00,25.78472222222222,0f06f305704fb86bce3bc177724c9d58142b6e3ff041228f37a140e0a2632ce6
pleia,2,B1,3714,1,2021-02-02 19:00:00,2021-02-28 13:50:00,2021-02-02 19:10:00,2021-02-28 14:00:00,25.791666666666668,f81aa1b244c46a9ec87486c56a78152e814ae3720587b7f086ec82ccd68ea50d
pleia,2,B2,3713,1,2021-02-28 14:10:00,2021-03-26 08:50:00,2021-02-28 14:20:00,2021-03-26 09:00:00,25.78472222222222,da322922a13bd0212aee761c2289246a4bc08d8e08d679126eefcb0648e7ae8d
pleia,2,B3,3715,1,2021-03-26 09:10:00,2021-04-21 04:10:00,2021-03-26 09:20:00,2021-04-21 04:20:00,25.79861111111111,1a21cdd709620be87a8a407baeeef2a96b67bf89092543bdb200472b0783afd1
pleia,2,final_fit,14855,1,2021-01-08 00:00:00,2021-04-21 04:10:00,2021-01-08 00:10:00,2021-04-21 04:20:00,103.15972222222223,18f1c13c22286a7d9edc49673c37cf3179afcdb0156fd6d6f5b45d7e8e3a6803
pleia,2,final_calibration,4954,1,2021-04-21 04:30:00,2021-05-25 14:00:00,2021-04-21 04:40:00,2021-05-25 14:10:00,34.40277777777778,7e77f5c0663ace56640de03db6fe5b1bee3239ed0447c47023f8737a708ba0bc
pleia,2,outer_test,9907,1,2021-05-25 14:20:00,2021-08-02 09:20:00,2021-05-25 14:30:00,2021-08-02 09:30:00,68.79861111111111,9cbeccd008d01320de17dc7671eaff4afc1da3f060ac9db1be6dedd4fb8b920f
pleia,2,inner0_train,3713,1,2021-01-08 00:00:00,2021-02-02 18:40:00,2021-01-08 00:10:00,2021-02-02 18:50:00,25.78472222222222,0f06f305704fb86bce3bc177724c9d58142b6e3ff041228f37a140e0a2632ce6
pleia,2,inner0_calibration,3714,1,2021-02-02 19:00:00,2021-02-28 13:50:00,2021-02-02 19:10:00,2021-02-28 14:00:00,25.791666666666668,f81aa1b244c46a9ec87486c56a78152e814ae3720587b7f086ec82ccd68ea50d
pleia,2,inner0_selection,3713,1,2021-02-28 14:10:00,2021-03-26 08:50:00,2021-02-28 14:20:00,2021-03-26 09:00:00,25.78472222222222,da322922a13bd0212aee761c2289246a4bc08d8e08d679126eefcb0648e7ae8d
pleia,2,inner1_train,7427,1,2021-01-08 00:00:00,2021-02-28 13:50:00,2021-01-08 00:10:00,2021-02-28 14:00:00,51.576388888888886,375412d1c3141089b831858b59d2661493b246b44331154e3e40cdb4c66e8f16
pleia,2,inner1_calibration,3713,1,2021-02-28 14:10:00,2021-03-26 08:50:00,2021-02-28 14:20:00,2021-03-26 09:00:00,25.78472222222222,da322922a13bd0212aee761c2289246a4bc08d8e08d679126eefcb0648e7ae8d
pleia,2,inner1_selection,3715,1,2021-03-26 09:10:00,2021-04-21 04:10:00,2021-03-26 09:20:00,2021-04-21 04:20:00,25.79861111111111,1a21cdd709620be87a8a407baeeef2a96b67bf89092543bdb200472b0783afd1
pleia_energy,0,B0,7428,1,2021-01-07 23:50:00,2021-02-28 13:40:00,2021-01-08 00:00:00,2021-02-28 13:50:00,51.583333333333336,a0fa7c8e14730ed2a203b6ab7bb733962cf407e7d8cb0aa2efb53cc2f3ce4b9f
pleia_energy,0,B1,7429,1,2021-02-28 14:00:00,2021-04-21 04:00:00,2021-02-28 14:10:00,2021-04-21 04:10:00,51.59027777777778,6ad474820e78f061d5b119ce42c594b8ef62faeada3334e2cee4dd66b67226c6
pleia_energy,0,B2,7429,1,2021-04-21 04:20:00,2021-06-11 18:20:00,2021-04-21 04:30:00,2021-06-11 18:30:00,51.59027777777778,c3a0832b2f57493f170b4ba0ac06689392d365cdd9286ff1601a8ccdab16a277
pleia_energy,0,B3,7430,1,2021-06-11 18:40:00,2021-08-02 08:50:00,2021-06-11 18:50:00,2021-08-02 09:00:00,51.59722222222222,26ad849d51d4b1094239d3b308dd72a5029a47966a48497e4930e96bcf7447f7
pleia_energy,0,final_fit,29716,1,2021-01-07 23:50:00,2021-08-02 08:50:00,2021-01-08 00:00:00,2021-08-02 09:00:00,206.36111111111111,83296f8446a5233f791458167ccf9f08205d564765954c50b23888f15f26ee88
pleia_energy,0,final_calibration,9907,1,2021-08-02 09:10:00,2021-10-10 04:10:00,2021-08-02 09:20:00,2021-10-10 04:20:00,68.79861111111111,b3d6f6c76df5d3d3958f22833733e8f0812566094fa06b60f8175bc6360c4d32
pleia_energy,0,outer_test,9909,1,2021-10-10 04:30:00,2021-12-17 23:50:00,2021-10-10 04:40:00,2021-12-18 00:00:00,68.8125,ed19bf3d6dbf621bc68a5e80cd703cf1e62a19b7ccc8dd80c86f897ee5b63672
pleia_energy,0,inner0_train,7428,1,2021-01-07 23:50:00,2021-02-28 13:40:00,2021-01-08 00:00:00,2021-02-28 13:50:00,51.583333333333336,a0fa7c8e14730ed2a203b6ab7bb733962cf407e7d8cb0aa2efb53cc2f3ce4b9f
pleia_energy,0,inner0_calibration,7429,1,2021-02-28 14:00:00,2021-04-21 04:00:00,2021-02-28 14:10:00,2021-04-21 04:10:00,51.59027777777778,6ad474820e78f061d5b119ce42c594b8ef62faeada3334e2cee4dd66b67226c6
pleia_energy,0,inner0_selection,7429,1,2021-04-21 04:20:00,2021-06-11 18:20:00,2021-04-21 04:30:00,2021-06-11 18:30:00,51.59027777777778,c3a0832b2f57493f170b4ba0ac06689392d365cdd9286ff1601a8ccdab16a277
pleia_energy,0,inner1_train,14857,1,2021-01-07 23:50:00,2021-04-21 04:00:00,2021-01-08 00:00:00,2021-04-21 04:10:00,103.17361111111111,4615005f1cdd87c56b42c76e5686486df7c67929371fbcd59df9425cb13a62c6
pleia_energy,0,inner1_calibration,7429,1,2021-04-21 04:20:00,2021-06-11 18:20:00,2021-04-21 04:30:00,2021-06-11 18:30:00,51.59027777777778,c3a0832b2f57493f170b4ba0ac06689392d365cdd9286ff1601a8ccdab16a277
pleia_energy,0,inner1_selection,7430,1,2021-06-11 18:40:00,2021-08-02 08:50:00,2021-06-11 18:50:00,2021-08-02 09:00:00,51.59722222222222,26ad849d51d4b1094239d3b308dd72a5029a47966a48497e4930e96bcf7447f7
pleia_energy,1,B0,5571,1,2021-01-07 23:50:00,2021-02-15 16:10:00,2021-01-08 00:00:00,2021-02-15 16:20:00,38.6875,b4b64a5f5ea0b16c4fdea034203c85791fb1e0342f5a63200ebf0c9f7ce38359
pleia_energy,1,B1,5571,1,2021-02-15 16:30:00,2021-03-26 08:50:00,2021-02-15 16:40:00,2021-03-26 09:00:00,38.6875,fa3fa6ea2270d5bd8eb36938b3670aa5fc182928777636f616f5354f51820a8e
pleia_energy,1,B2,5571,1,2021-03-26 09:10:00,2021-05-04 01:30:00,2021-03-26 09:20:00,2021-05-04 01:40:00,38.6875,3691a162e8a84c57c6d31a5d876927345bf72482297f5c1adb2d625896bf2291
pleia_energy,1,B3,5573,1,2021-05-04 01:50:00,2021-06-11 18:30:00,2021-05-04 02:00:00,2021-06-11 18:40:00,38.701388888888886,a0de192f6b48c58a4042d74a83da89128969446d990b82cf32fbaa0a6fbf4565
pleia_energy,1,final_fit,22286,1,2021-01-07 23:50:00,2021-06-11 18:30:00,2021-01-08 00:00:00,2021-06-11 18:40:00,154.76388888888889,61e1782b48067e159e9b2a66739082c7ca22a05690c321112af7926e89ed3cb7
pleia_energy,1,final_calibration,7430,1,2021-06-11 18:50:00,2021-08-02 09:00:00,2021-06-11 19:00:00,2021-08-02 09:10:00,51.59722222222222,149c87769c8facd0115f791414ef33c14f07b23557a0416358cef8182e3be44b
pleia_energy,1,outer_test,9907,1,2021-08-02 09:20:00,2021-10-10 04:20:00,2021-08-02 09:30:00,2021-10-10 04:30:00,68.79861111111111,577a8393a4f3e766c07b26e092833df6c4dab9b955056c789e2989256260338a
pleia_energy,1,inner0_train,5571,1,2021-01-07 23:50:00,2021-02-15 16:10:00,2021-01-08 00:00:00,2021-02-15 16:20:00,38.6875,b4b64a5f5ea0b16c4fdea034203c85791fb1e0342f5a63200ebf0c9f7ce38359
pleia_energy,1,inner0_calibration,5571,1,2021-02-15 16:30:00,2021-03-26 08:50:00,2021-02-15 16:40:00,2021-03-26 09:00:00,38.6875,fa3fa6ea2270d5bd8eb36938b3670aa5fc182928777636f616f5354f51820a8e
pleia_energy,1,inner0_selection,5571,1,2021-03-26 09:10:00,2021-05-04 01:30:00,2021-03-26 09:20:00,2021-05-04 01:40:00,38.6875,3691a162e8a84c57c6d31a5d876927345bf72482297f5c1adb2d625896bf2291
pleia_energy,1,inner1_train,11142,1,2021-01-07 23:50:00,2021-03-26 08:50:00,2021-01-08 00:00:00,2021-03-26 09:00:00,77.375,b1940b3bd29fb3f5ef34693ee73a16de096d0b42542291f21e73f9bed175490e
pleia_energy,1,inner1_calibration,5571,1,2021-03-26 09:10:00,2021-05-04 01:30:00,2021-03-26 09:20:00,2021-05-04 01:40:00,38.6875,3691a162e8a84c57c6d31a5d876927345bf72482297f5c1adb2d625896bf2291
pleia_energy,1,inner1_selection,5573,1,2021-05-04 01:50:00,2021-06-11 18:30:00,2021-05-04 02:00:00,2021-06-11 18:40:00,38.701388888888886,a0de192f6b48c58a4042d74a83da89128969446d990b82cf32fbaa0a6fbf4565
pleia_energy,2,B0,3713,1,2021-01-07 23:50:00,2021-02-02 18:30:00,2021-01-08 00:00:00,2021-02-02 18:40:00,25.78472222222222,0c050bcbd0085b920ed90f6e2d77e8f254b5a5586c12d217575989b931bed6d0
pleia_energy,2,B1,3714,1,2021-02-02 18:50:00,2021-02-28 13:40:00,2021-02-02 19:00:00,2021-02-28 13:50:00,25.791666666666668,c8151c1a593fed96e3144eacc267ff1028f712399ebfb4351527d3c7c86a8b2f
pleia_energy,2,B2,3713,1,2021-02-28 14:00:00,2021-03-26 08:40:00,2021-02-28 14:10:00,2021-03-26 08:50:00,25.78472222222222,09a56eb15473ab3ec312617b7c46c9a4d24ca2c0217181331cae5662158df378
pleia_energy,2,B3,3715,1,2021-03-26 09:00:00,2021-04-21 04:00:00,2021-03-26 09:10:00,2021-04-21 04:10:00,25.79861111111111,116557f08987d3f700f60dd4e0fbbebfc4e30680bf3f114128154fdb1e516365
pleia_energy,2,final_fit,14855,1,2021-01-07 23:50:00,2021-04-21 04:00:00,2021-01-08 00:00:00,2021-04-21 04:10:00,103.15972222222223,193a0b2f37af73faafc76dc08a3f21a0e78bcbd3c60d9516e65fec54e2fa0d25
pleia_energy,2,final_calibration,4954,1,2021-04-21 04:20:00,2021-05-25 13:50:00,2021-04-21 04:30:00,2021-05-25 14:00:00,34.40277777777778,30cf7aa9df724790d9fb9f6fb622b5ef42251f3b000e94f5e225dfe96abf3c1b
