model_seed,control_id,rule_id,channel,conditional_context_detection,restricted_ttd_equal_stratum_minutes,detected,misses,detected_delay_median_minutes,detected_delay_q90_minutes,supported_strata,original_eligible_rows,original_asset_days,background_episodes,background_episodes_per_asset_day,alert_rows,time_in_alert_days,fraction_time_in_alert
42,quantile_static,180min_3of18,combined,0.107620394442657,101.99921778007113,290,2437,30.0,80.0,21,9907,68.79861111111111,45,0.6540829716362168,8720,60.55555555555555,0.8801857272635509
42,quantile_static,180min_3of18,numerical_only,0.11080399064233092,103.0076089285487,297,2430,40.0,90.0,21,9907,68.79861111111111,45,0.6540829716362168,8720,60.55555555555555,0.8801857272635509
42,quantile_static,30min_3of3,availability_only,0.1098438320818269,100.8119051481722,307,2420,30.0,30.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
42,quantile_static,30min_3of3,combined,0.3303635901148259,91.22648497669671,920,1807,60.0,80.0,21,9907,68.79861111111111,106,1.5407287776319774,7255,50.38194444444444,0.7323104875340668
42,quantile_static,30min_3of3,numerical_only,0.49066677084526233,85.63988535469346,1300,1427,60.0,80.0,21,9907,68.79861111111111,106,1.5407287776319774,7255,50.38194444444444,0.7323104875340668
42,quantile_static,360min_4of36,availability_only,0.0625634927072711,105.22304529371775,172,2555,30.0,50.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
42,quantile_static,360min_4of36,combined,0.06866497004382544,105.29319046323914,186,2541,30.0,80.0,21,9907,68.79861111111111,26,0.37791460583425857,9190,63.81944444444444,0.9276269304532149
42,quantile_static,360min_4of36,numerical_only,0.06530868958550323,106.16660088759707,178,2549,50.0,90.0,21,9907,68.79861111111111,26,0.37791460583425857,9190,63.81944444444444,0.9276269304532149
42,quantile_static,60min_4of6,availability_only,0.0625634927072711,105.22304529371775,172,2555,30.0,50.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
42,quantile_static,60min_4of6,combined,0.27569706500380814,95.77081893351112,769,1958,60.0,90.0,21,9907,68.79861111111111,80,1.1628141717977187,7458,51.791666666666664,0.7528010497627939
42,quantile_static,60min_4of6,numerical_only,0.348570091972545,95.31459748889822,971,1756,80.0,90.0,21,9907,68.79861111111111,80,1.1628141717977187,7458,51.791666666666664,0.7528010497627939
